DATE,NAEXKP01INQ652S
1996-04-01,7902844507579.95
1996-07-01,7941487893639.54
1996-10-01,8067406073853.73
1997-01-01,8128102180304.649
1997-04-01,8161415070935.17
1997-07-01,8258767055372.509
1997-10-01,8390977995116.96
1998-01-01,8527757228947.399
1998-04-01,8639533629369.84
1998-07-01,8796319257819.379
1998-10-01,8911613452913.47
1999-01-01,9056351715326.209
1999-04-01,9290207690757.58
1999-07-01,9405901347212.29
1999-10-01,9561170231215.76
2000-01-01,9761909582765.08
2000-04-01,9775079044580.92
2000-07-01,9904862119655.76
2000-10-01,9909011337392.31
2001-01-01,9962585531799.13
2001-04-01,10169944037383.4
2001-07-01,10295731904812.7
2001-10-01,10532109899197.2
2002-01-01,10617114237458.1
2002-04-01,10683339733493.9
2002-07-01,10746752084487.9
2002-10-01,10755160454270.3
2003-01-01,10997269301372.9
2003-04-01,11275852038085.3
2003-07-01,11572645197200.7
2003-10-01,11952599099871.3
2004-01-01,11996165203446.701
2004-04-01,12281454837705.5
2004-07-01,12575919608786.3
2004-10-01,12819466473840.799
2005-01-01,13043931623151.201
2005-04-01,13457019763899.799
2005-07-01,13644262823426.5
2005-10-01,13989177109683.1
2006-01-01,14339686142116.0
2006-04-01,14545658699487.1
2006-07-01,15026101352156.5
2006-10-01,15283241202595.9
2007-01-01,15710162623234.0
2007-04-01,16106082043423.1
2007-07-01,16395101917268.3
2007-10-01,16948745543682.398
2008-01-01,17051438501563.701
2008-04-01,17229431952576.898
2008-07-01,17379369325805.602
2008-10-01,17400671663485.9
2009-01-01,17079431371985.898
2009-04-01,18070662988663.5
2009-07-01,18532166933247.5
2009-10-01,18926295709442.598
2010-01-01,19418413293173.598
2010-04-01,19884953213446.598
2010-07-01,20472748733034.098
2010-10-01,20947934844963.7
2011-01-01,21331416226270.402
2011-04-01,21589877389025.098
2011-07-01,21589046499313.5
2011-10-01,21940709282933.6
2012-01-01,22243662918727.8
2012-04-01,22501233451283.797
2012-07-01,22904904833351.297
2012-10-01,23176755566571.2
2013-01-01,23547290108793.6
2013-04-01,23877850323728.1
2013-07-01,24260163484669.2
2013-10-01,24794159555991.5
2014-01-01,25081528045611.203
2014-04-01,25655812357196.5
2014-07-01,26124234535986.0
2014-10-01,26524964672741.6
2015-01-01,26971713824075.902
2015-04-01,27549369325733.402
2015-07-01,28057995392383.6
2015-10-01,28628299830921.203
2016-01-01,29459245340961.902
2016-04-01,29983939521659.0
2016-07-01,30671028667487.2
2016-10-01,31089250666021.1
2017-01-01,31337716414832.7
2017-04-01,31982631460632.203
2017-07-01,32510060885154.797
2017-10-01,33121622328632.9
2018-01-01,33831503085580.203
2018-04-01,34286932921363.305
2018-07-01,34755381287936.9
2018-10-01,35257461233798.9
2019-01-01,35629383986900.91
2019-04-01,36024476204163.3
2019-07-01,36260456073172.305
2019-10-01,36431450432545.2
2020-01-01,36443193870119.195
2020-04-01,27739187103044.0
2020-07-01,34074351763687.9
2020-10-01,36797364609254.8
2021-01-01,36973827534013.3
2021-04-01,33265660743779.1
2021-07-01,36976358204483.5
2021-10-01,38819263656587.695
2022-01-01,38293872305149.6
2022-04-01,37745512974664.4
