DATE,POPTOTINA647NWDB_PCH
1961-01-01,2.01854
1962-01-01,2.05269
1963-01-01,2.07821
1964-01-01,2.09315
1965-01-01,2.10192
1966-01-01,2.10533
1967-01-01,2.11311
1968-01-01,2.13552
1969-01-01,2.17690
1970-01-01,2.22902
1971-01-01,2.28358
1972-01-01,2.32787
1973-01-01,2.35470
1974-01-01,2.35931
1975-01-01,2.34892
1976-01-01,2.33143
1977-01-01,2.31775
1978-01-01,2.31313
1979-01-01,2.32143
1980-01-01,2.33640
1981-01-01,2.35097
1982-01-01,2.35600
1983-01-01,2.34752
1984-01-01,2.32236
1985-01-01,2.28558
1986-01-01,2.24581
1987-01-01,2.20790
1988-01-01,2.16997
1989-01-01,2.13330
1990-01-01,2.09779
1991-01-01,2.06067
1992-01-01,2.02338
1993-01-01,1.99018
1994-01-01,1.96225
1995-01-01,1.93747
1996-01-01,1.91329
1997-01-01,1.88675
1998-01-01,1.85668
1999-01-01,1.82196
2000-01-01,1.78385
2001-01-01,1.74380
2002-01-01,1.70392
2003-01-01,1.66520
2004-01-01,1.62842
2005-01-01,1.59225
2006-01-01,1.55770
2007-01-01,1.52067
2008-01-01,1.47567
2009-01-01,1.42058
2010-01-01,1.35950
2011-01-01,1.29685
2012-01-01,1.23910
2013-01-01,1.18993
2014-01-01,1.15226
2015-01-01,1.12316
2016-01-01,1.09643
2017-01-01,1.06903
2018-01-01,1.04323
2019-01-01,1.01841
2020-01-01,0.99432
2021-01-01,0.97135
